Operator,Lessor/Owner,Manager,Lease Type,Aircraft Model,Aircraft Variant,Serial Number,Tail/Registration Number,Status,Role,Operator Country/Territory,Operator Region,Engine Series,Age,Lease From,Lease To,Lease To Derived
airBaltic,Azorra Aviation,Azorra Aviation,Operating^,A220,A220-300,55034,YL-CSI,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,3.583,2018-06-16,2030-06-15,No
airBaltic,Avation,Avation,Operating^,A220,A220-300,55038,YL-CSJ,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,3.5,2018-07-19,2030-07-18,No
airBaltic,Avation,Avation,Operating^,A220,A220-300,55050,YL-AAO,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.833,2019-03-26,2031-03-25,No
airBaltic,Avation,Avation,Operating^,A220,A220-300,55051,YL-AAP,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.833,2019-03-29,,No
airBaltic,Avation,Avation,Operating^,A220,A220-300,55052,YL-AAQ,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.75,2019-04-26,,No
airBaltic,Avation,Avation,Operating^,A220,A220-300,55053,YL-AAR,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.75,2019-05-15,,No
airBaltic,LHI Leasing GmbH,FPG Amentum Limited,Operating^,A220,A220-300,55054,YL-AAS,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.667,2019-05-24,,No
airBaltic,LHI Leasing GmbH,FPG Amentum Limited,Operating^,A220,A220-300,55055,YL-AAT,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.333,2019-09-20,,No
airBaltic,Chorus Aviation,Chorus Aviation,Operating^,A220,A220-300,55064,YL-AAU,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.167,2019-12-02,,No
airBaltic,Chorus Aviation,Chorus Aviation,Operating^,A220,A220-300,55071,YL-AAV,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,2.83,2019-12-22,,No
Air Manas,State Transport Leasing Company (GTLK),State Transport Leasing Company (GTLK),Operating^,A220,A220-300,55072,EX-22002,In Service,Passenger,Kyrgyzstan,Asia: Central Asia,PW1500G,2.83,2021-04-21,,No
airBaltic,Chorus Aviation,Chorus Aviation,Operating^,A220,A220-300,55086,YL-AAW,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,1.667,2020-09-19,,No
airBaltic,Chorus Aviation,Chorus Aviation,Operating^,A220,A220-300,55094,YL-AAX,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,1.333,2020-12-11,,No
airBaltic,Chorus Aviation,Chorus Aviation,Operating^,A220,A220-300,55095,YL-AAY,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,1.25,2020-12-11,,No
airBaltic,Aviation Capital Group,Aviation Capital Group,Operating^,A220,A220-300,55114,YL-AAZ,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.75,2021-04-30,,No
airBaltic,Aviation Capital Group,Aviation Capital Group,Operating^,A220,A220-300,55121,YL-ABA,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.583,2021-06-18,,No
airBaltic,Aviation Capital Group,Aviation Capital Group,Operating^,A220,A220-300,55126,YL-ABB,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.5,2021-08-13,,No
airBaltic,Azorra Aviation,Azorra Aviation,Operating^,A220,A220-300,55129,YL-ABD,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.417,2021-08-29,,No
airBaltic,Azorra Aviation,Azorra Aviation,Operating^,A220,A220-300,55131,YL-ABE,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.333,2021-09-15,,No
airBaltic,Azorra Aviation,Azorra Aviation,Operating^,A220,A220-300,55133,YL-ABF,In Service,Passenger,Latvia,Europe: Eastern/Central Europe,PW1500G,0.333,2021-10-15,,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,1077,D-AKNK,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,22.333,2005-10-03,,No
Germanwings,AerCap,AerCap,Operating^,A320,A319-100,1084,D-AKNL,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,22.333,2005-10-28,,No
Germanwings,AerCap,AerCap,Operating^,A320,A319-100,1089,D-AKNM,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,22.25,2005-11-30,,No
Germanwings,AerCap,AerCap,Operating^,A320,A319-100,1147,D-AKNO,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,22.83,2005-06-01,,No
Eurowings,"JPA No. 88 Co., Ltd.",Arena Aviation Capital,Operating,A320,A319-100,1155,D-AKNP,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,22,2005-06-20,2022-06-25,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,1170,D-AKNQ,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,21.833,2005-07-13,,No
Eurowings,AerCap,AerCap,Operating^,A320,A319-100,1209,D-AKNR,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,21.75,2005-08-10,,No
Germanwings,AerCap,AerCap,Operating^,A320,A319-100,1277,D-AKNS,Inactive,Passenger,Germany,Europe: Western Europe,CFM56-5B,21.5,2005-09-07,,No
Air Canada Rouge,AerCap,AerCap,Operating^,A320,A319-100,1562,C-GITP,Inactive,Passenger,Canada,North America,CFM56-5B,20.417,2001-08-22,,No
Air Canada Rouge,AerCap,AerCap,Operating^,A320,A319-100,1577,C-GITR,In Service,Passenger,Canada,North America,CFM56-5B,20.333,2001-09-14,,No
Air Canada Rouge,Aircastle,Aircastle,Operating^,A320,A319-100,1673,C-GSJB,Inactive,Passenger,Canada,North America,CFM56-5B,19.917,2002-02-08,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,1684,EC-MTB,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,19.833,2017-05-12,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,1884,EC-NBC,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,19,2019-06-07,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,1901,EC-NBD,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.917,2019-04-01,,No
Volotea,AASET 2019-1,Carlyle Aviation Partners,Operating^,A320,A319-100,2037,EC-MUX,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.333,2018-04-20,2026-11-30,No
Volotea,AASET 2019-1,Carlyle Aviation Partners,Operating^,A320,A319-100,2043,EC-NCB,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.25,2019-01-31,2027-01-31,No
Volotea,AASET 2019-1,Carlyle Aviation Partners,Operating^,A320,A319-100,2050,EC-MUY,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.25,2018-05-14,2026-11-30,No
Volotea,AASET 2018-3,Carlyle Aviation Partners,Operating^,A320,A319-100,2053,EC-MTL,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.25,2018-01-03,2026-01-30,No
Volotea,AASET 2018-3,Carlyle Aviation Partners,Operating^,A320,A319-100,2062,EC-MTM,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,18.167,2018-01-03,2026-01-30,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2113,EC-MTN,Inactive,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.917,2016-02-25,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2122,EC-MUC,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.833,2016-04-01,,No
Allegiant Air,Sunrise Asset Management LLC,Sunrise Asset Management LLC,Financial^,A320,A319-100,2170,N337NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.833,2017-11-20,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2176,N336NV,Inactive,Passenger,United States of America,North America,CFM56-5B,17.833,2016-12-28,,No
Allegiant Air,Sunrise Asset Management LLC,Allegiant Air,Financial^,A320,A319-100,2224,N310NV,In Service,Passenger,United States of America,North America,CFM56-5B,17.667,2013-05-09,,No
Volotea,AerCap,AerCap,Operating^,A320,A319-100,2240,EC-MUT,In Service,Passenger,Spain,Europe: Western Europe,CFM56-5B,17.583,2016-05-04,,No
